"","group","sample","ring_no","species","sex","rearing_nest","family_membership","sampling","index_1","index_2","breading_no","miseq_run","couple","no_species_nest"
"G45","G45","FD117","White249","Bengalese_Finch","Male","VS19B","Father","Day_10","S517","N712","1","592","couple10","2"
"G46","G46","FD118","White249","Bengalese_Finch","Male","VS19B","Father","Day_35","S502","N702","1","592","couple10","2"
"G47","G47","FD119","White249","Bengalese_Finch","Male","VS19B","Father","Day_100","S503","N701","1","592","couple10","2"
"G48","G48","FD120","White246","Bengalese_Finch","Female","VS19B","Mother","Fostering","S503","N706","1","592","couple10","2"
"G49","G49","FD121","White246","Bengalese_Finch","Female","VS19B","Mother","Day_5","S503","N712","1","592","couple10","2"
"G5","G5","FD005","White247","Bengalese_Finch","Male","VS13","Father","Day_100","S503","N702","1","592","couple6","2"
"G50","G50","FD122","White246","Bengalese_Finch","Female","VS19B","Mother","Day_10","S504","N704","1","592","couple10","2"
"G51","G51","FD123","White246","Bengalese_Finch","Female","VS19B","Mother","Day_35","S504","N710","1","592","couple10","2"
"G52","G52","FD124","White246","Bengalese_Finch","Female","VS19B","Mother","Day_100","S505","N703","1","592","couple10","2"
"G53","G53","FD145","Grey1332","Zebra_Finch","Male","KE01","Father","Day_100","S517","N706","1","613","couple2","1"
"G54","G54","FD146","Grey1299","Zebra_Finch","Female","KE01","Mother","Fostering","S506","N709","1","592","couple2","1"
"G55","G55","FD147","Grey1299","Zebra_Finch","Female","KE01","Mother","Day_5","S508","N708","1","592","couple2","1"
"G56","G56","FD148","Grey1299","Zebra_Finch","Female","KE01","Mother","Day_10","S502","N712","1","799","couple2","1"
"G57","G57","FD149","Grey1299","Zebra_Finch","Female","KE01","Mother","Day_35","S503","N709","1","613","couple2","1"
"G58","G58","FD150","Grey1299","Zebra_Finch","Female","KE01","Mother","Day_100","S503","N711","1","613","couple2","1"
"G6","G6","FD006","Silver179","Bengalese_Finch","Female","VS13","Mother","Fostering","S503","N705","1","592","couple6","2"
"G67","G67","FD179","Grey709","Zebra_Finch","Female","EF26","Mother","Fostering","S517","N705","1","613","couple1","1"
